"state_long","state_short","elec_year","gelec_dem","gelec_rep","gelec_oth","temp_mean","temp_max_max","temp_max_mean","gelec_total","rep_share","dem_share","ln_temp_mean","ln_temp_max_max","ln_temp_max_mean"
"Nevada","NV",2010,362785,321361,37258,42.2863635,56,48,721404,0.445466063398595,0.502887425076656,3.74446465819143,4.02535169073515,3.87120101090789
"New Hampshire","NH",2010,167545,273218,14386,33.541667,41,41,455149,0.600282544836966,0.368110223245575,3.51278845700851,3.71357206670431,3.71357206670431
"New York","NY",2010,5166091,2577913,1361563,36.98076925,62,49.25,9105567,0.283113945567585,0.567355223458352,3.61039802752737,4.12713438504509,3.8969093676181
"North Carolina","NC",2010,1145074,1458046,56959,48.8138889333333,62,57.2666666666667,2660079,0.548121315194022,0.430466162847043,3.88801488165518,4.12713438504509,4.04771872088205
"North Dakota","ND",2010,52955,181689,4168,50.4116160833333,66,62.4166666666667,238812,0.7608034772122,0.221743463477547,3.9202216263653,4.18965474202643,4.13383233372922
"Ohio","OH",2010,1503297,2168742,143059,42.706884,58,53.4,3815098,0.568462985747679,0.394038894937954,3.75436012503898,4.06044301054642,3.97781074596615
"Oklahoma","OK",2010,265814,718482,32855,54.4249999,65,61.9,1017151,0.706367097903851,0.261331896640715,3.99682360528322,4.17438726989564,4.12552017969055
"Oregon","OR",2010,825507,566199,50882,54.107353,71,63.5882352941176,1442588,0.392488361195296,0.572240307003801,3.99097009158911,4.26267987704132,4.15242847358299
"Pennsylvania","PA",2010,1948716,2028945,,42.083333,55,55,3977661,0.51008494690724,0.48991505309276,3.73965177156657,4.00733318523247,4.00733318523247
"South Carolina","SC",2010,364598,810771,143425,54.75,62,62,1318794,0.614782141865978,0.276463192886834,4.00277736869661,4.12713438504509,4.12713438504509
"South Dakota","SD",2010,,227947,,50.5833333333333,68,62.3333333333333,227947,1,,3.9236221412715,4.21950770517611,4.13249632818648
"Utah","UT",2010,207685,390179,35965,48.7549604166667,73,59.4166666666667,633829,0.615590324835247,0.327667241479958,3.88680694440421,4.29045944114839,4.0845747706263
"Vermont","VT",2010,151281,72699,11198,35.8042754,44.4,41.66,235178,0.30912330234971,0.643261699648777,3.57806731085711,3.79323946943818,3.72954143583283
"Washington","WA",2010,1314930,1196164,,52.23162875,67,60.75,2511094,0.476351741511867,0.523648258488133,3.95568822614732,4.20469261939097,4.10676708222066
"West Virginia","WV",2010,283358,230013,16577,,,,529948,0.434029376467125,0.534690196019232,,,
"Wisconsin","WI",2010,1020958,1125999,24374,41.7529762142857,56,51.5,2171331,0.518575472832102,0.47019915434358,3.73177073532582,4.02535169073515,3.94158180766969
"Arizona","AZ",2012,1036542,1104457,102423,68.2317708125,91,85.3125,2243422,0.492309070696463,0.462036121603515,4.22291030406668,4.51085950651685,4.44632098537928
"California","CA",2012,7864624,4713887,,65.4323891958042,97.4,80.9261538461539,12578511,0.374757155278554,0.625242844721446,4.18101738351078,4.57882621064849,4.39353705792696
"Connecticut","CT",2012,792983,604569,114212,34.4090909090909,46,42.2727272727273,1511764,0.399909641981156,0.524541528968807,3.53832080007913,3.8286413964891,3.74414213278899
"Delaware","DE",2012,265415,115700,18492,37.916667,43,43,399607,0.289534467614431,0.664190066740573,3.63539077795416,3.76120011569356,3.76120011569356
"Florida","FL",2012,4523451,3458267,208228,67.9305553333333,81,77,8189946,0.422257607070914,0.552317561068168,4.21848593825199,4.39444915467244,4.34380542185368
"Hawaii","HI",2012,269489,160994,,66.088889,83.8,72.6,430483,0.373984570819289,0.626015429180711,4.19100063893102,4.42843300748804,4.28496492183075
"Indiana","IN",2012,1281181,1133621,145300,38.2606481111111,53,46.9444444444444,2560102,0.442803060190571,0.50044138866342,3.6444219035213,3.97029191355212,3.84896486946101
"Maine","ME",2012,92900,215399,392300,30.9444446666667,37,35,700599,0.307449767984253,0.132600817300624,3.43219348921245,3.61091791264422,3.55534806148941
"Maryland","MD",2012,1474028,693291,465896,35.722028,45,42.3846153846154,2633215,0.263286894537666,0.559782623143192,3.57576752931268,3.80666248977032,3.74678545169138
"Massachusetts","MA",2012,1696346,1458048,2159,32.6856060909091,44,42.4545454545455,3156553,0.461911458480184,0.537404567577354,3.4869348002891,3.78418963391826,3.74843398487053
"Michigan","MI",2012,2735826,1767386,149706,36.3141891891892,45,41.1351351351351,4652918,0.379844648025175,0.587980703721837,3.592208551649,3.80666248977032,3.71686262577741
"Minnesota","MN",2012,1854595,867974,120638,29.32291675,43,31.5,2843207,0.305279918064355,0.652289826241987,3.37836935194787,3.76120011569356,3.44998754583159
"Mississippi","MS",2012,503467,709626,28475,,,,1241568,0.57155629011057,0.405509001520658,,,
"Missouri","MO",2012,1494125,1066159,165509,45.6722222666667,59,52.4,2725793,0.39113718466516,0.548143237582604,3.82149028523504,4.07753744390572,3.958906591327
"Montana","MT",2012,236123,218051,31892,44.1893940909091,62,57.7272727272727,486066,0.448603687565063,0.485783823595973,3.78848480759603,4.12713438504509,4.05572972609432
"Nebraska","NE",2012,332979,455593,,50.095833,58.5,58.5,788572,0.577744327721502,0.422255672278498,3.913937830979,4.06902675423781,4.06902675423781
"Nevada","NV",2012,446080,457656,94069,61.3986740833333,82,75.9166666666667,997805,0.458662764768667,0.447061299552518,4.11738824018594,4.40671924726425,4.32963624747196
"New Jersey","NJ",2012,1985783,1329405,59480,34.4583333333333,43,42.6666666666667,3374668,0.393936529460083,0.588438033015396,3.53975086467575,3.76120011569356,3.75341797525151
"New Mexico","NM",2012,395717,351260,28816,55.4276315789474,81,73.1052631578947,775793,0.452775418185006,0.510080652957683,4.01507823437429,4.39444915467244,4.2919003635879
"New York","NY",2012,4432525,1517578,729575,31.611742375,52,41.5,6679678,0.227193286862031,0.66358363382187,3.45352864571443,3.95124371858143,3.72569342723665
"North Dakota","ND",2012,161163,158282,1406,40.0192307692308,51,47.8461538461538,320851,0.493319328909681,0.502298574727833,3.68936010781221,3.93182563272433,3.86799073527764
"Ohio","OH",2012,2762766,2435744,250617,38.9184524285714,55,49.2714285714286,5449127,0.446997106141956,0.507010756034866,3.66146849364367,4.00733318523247,3.89734437088748
"Pennsylvania","PA",2012,3021364,2509132,98995,39.0412393333333,52,48,5629491,0.445712054606713,0.536702874203014,3.6646185062596,3.95124371858143,3.87120101090789
"Rhode Island","RI",2012,271034,146222,933,34.0104165,45,43.75,418189,0.349655299398119,0.648113651961195,3.52666684534224,3.80666248977032,3.77849161280362
"Tennessee","TN",2012,705882,1506443,109152,42.7541668,52,48.16,2321477,0.648915754926713,0.304065902871319,3.75546665963882,3.95124371858143,3.87452880100057
